temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth,generated_power_kw
2.17,31,1035.0,0.0,0.0,0.0,0,0,0,0.0,6.37,312.71,9.36,22.62,6.62,337.62,24.48,58.753108,83.237322,128.33543,454.10095
2.31,27,1035.1,0.0,0.0,0.0,0,0,0,1.78,5.15,294.78,5.99,32.74,4.61,321.34,21.96,45.408585,75.143041,139.6553,1411.9994
3.65,33,1035.4,0.0,0.0,0.0,0,0,0,108.58,4.68,270.0,3.89,56.31,3.76,286.7,14.04,32.848282,68.820648,152.53769,2214.8493
5.82,30,1035.4,0.0,0.0,0.0,0,0,0,258.1,3.6,323.13,3.55,23.96,3.08,339.44,19.8,22.699288,64.883536,166.90159,2527.6092
7.73,27,1034.4,0.0,0.0,0.0,0,0,0,375.58,6.21,10.01,6.76,25.2,6.62,22.38,16.56,19.199908,63.795208,182.13526,2640.2034
8.69,29,1034.6,0.0,0.0,0.0,0,0,0,449.45,6.29,23.63,7.1,30.47,6.92,27.9,17.28,25.088167,65.70086,197.22062,2546.0816
9.72,27,1034.0,0.0,0.0,0.0,0,0,0,469.92,5.96,25.02,6.61,29.36,6.44,26.57,12.96,36.197514,70.351498,211.21422,2270.3207
10.07,28,1034.1,0.0,0.0,0.0,0,0,0,436.99,7.07,14.74,7.63,19.29,7.52,16.7,10.8,49.073008,77.228779,223.65641,1063.8302
9.38,32,1033.9,0.0,0.0,0.0,0,0,0,353.33,9.42,6.58,10.5,5.91,10.14,6.12,11.52,62.37114,85.585411,234.50308,86.817611
6.54,47,1035.1,0.0,0.0,0.0,0,0,0,228.73,7.92,360.0,12.25,1.68,11.53,1.79,12.24,105.86656,121.46318,216.06756,9.6666667
2.18,24,1038.5,0.0,0.0,0.9,3,0,0,0.0,7.15,229.09,5.77,93.58,2.31,141.34,19.08,58.845824,83.242237,128.19736,513.90842
2.41,25,1038.4,0.0,0.0,1.8,6,0,0,2.67,7.7,232.59,5.04,90.0,1.94,158.2,18.36,45.485379,75.128751,139.51405,1076.7197
4.21,33,1039.3,0.0,0.0,0.0,0,0,0,113.92,6.49,236.31,3.6,90.0,1.94,111.8,16.92,32.896851,68.783811,152.39916,1018.7148
6.9,36,1039.0,0.0,0.0,0.0,0,0,0,255.43,3.96,270.0,4.58,45.0,4.33,41.63,15.48,22.691118,64.819803,166.76722,2307.0852
9.29,30,1037.6,0.0,0.0,0.9,3,0,0,380.03,6.49,19.44,7.9,30.07,8.22,28.81,15.84,19.107739,63.706944,182.12489,2261.3353
11.86,26,1036.5,0.0,0.0,100.0,100,100,0,400.5,5.69,18.43,6.3,30.96,6.3,30.96,9.72,24.953054,65.591365,197.12913,1706.41
12.47,26,1036.5,0.0,0.0,100.0,100,100,0,415.63,9.11,18.43,9.69,21.8,9.69,21.8,10.08,36.063181,70.227766,211.15002,1385.8102
11.99,30,1036.7,0.0,0.0,100.0,100,100,0,387.15,10.83,15.42,11.38,18.43,11.38,18.43,11.88,48.947246,77.097036,223.61621,547.77553
11.32,33,1036.5,0.0,0.0,100.0,100,100,0,333.75,10.93,17.24,11.63,21.8,11.63,21.8,12.6,62.1479,85.381751,234.39741,61.566961
3.77,35,1039.1,0.0,0.0,0.0,0,0,0,0.0,6.99,235.49,12.72,295.11,12.25,294.3,7.2,58.9765,83.267328,128.02444,419.20845
4.01,36,1039.6,0.0,0.0,38.0,0,38,0,2.67,6.83,251.57,14.01,295.91,13.85,294.57,7.56,45.55898,75.107523,139.36964,1371.9036
6.66,34,1039.7,0.0,0.0,62.0,0,62,0,111.25,5.41,266.19,12.48,303.23,12.48,303.23,7.56,32.941458,68.737737,152.25258,2154.5695
9.29,40,1038.3,0.0,0.0,49.0,0,49,0,256.32,2.97,284.04,9.96,310.6,10.23,309.29,5.76,22.67679,64.748514,166.63244,2456.0311
12.26,33,1037.5,0.0,0.0,29.0,0,29,0,369.35,4.84,318.01,5.69,325.3,5.69,325.3,5.76,19.004469,63.610054,181.90286,2536.1985
13.77,30,1036.6,0.0,0.0,5.1,17,0,0,441.44,5.51,348.69,6.16,353.29,6.16,353.29,6.12,24.813234,65.474867,197.04081,2462.3889
14.43,30,1036.6,0.0,0.0,2.1,7,0,0,461.02,7.59,354.56,8.28,360.0,8.28,360.0,7.92,35.926593,70.097733,211.09034,2202.6894
14.58,30,1036.4,0.0,0.0,5.1,17,0,0,430.76,9.01,357.71,10.08,360.0,10.08,360.0,10.08,48.820772,76.959788,223.58144,1046.8986
14.04,32,1036.6,0.0,0.0,2.4,8,0,0,352.44,9.37,357.8,10.44,360.0,10.44,360.0,11.16,62.14581,85.32007,234.4662,88.940216
4.25,30,1038.8,0.0,0.0,0.0,0,0,0,0.0,6.61,209.36,3.42,71.57,2.9,82.87,1.08,59.024684,83.232999,127.90935,418.46229
4.28,31,1038.6,0.0,0.0,0.0,0,0,0,1.78,6.3,210.96,4.35,65.56,3.08,69.44,2.16,45.734575,75.136798,139.12312,1300.4193
5.76,35,1038.4,0.0,0.0,0.0,0,0,0,104.13,5.5,211.61,5.01,68.96,4.1,74.74,9.0,32.981515,68.685423,152.10722,2143.0744
8.47,40,1037.1,0.0,0.0,0.0,0,0,0,250.09,1.8,233.13,5.15,65.22,4.35,65.56,5.4,22.656758,64.669873,166.49739,2436.7275
11.34,33,1035.3,0.0,0.0,0.0,0,0,0,366.68,2.9,29.74,4.07,45.0,4.07,45.0,7.2,18.896941,63.506526,181.78886,2534.3489
